Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,4.4 out of 5 stars,"249,205",Kindle Edition,211.0,https://www.amazon.in/Housemaid-absolutely-addictive-psychological-jaw-dropping-ebook/dp/B09TWSRMCB/ref=zg_bs_g_1318161031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Freida-McFadden/e/B00ELQLN2I/ref=zg_bs_g_1318161031_d_sccl_16_bl/000-0000000-0000000
And Then There Were None: The World’s Favourite Agatha Christie Book: The World’s Favourite Agatha Christie Book,Agatha Christie,4.6 out of 5 stars,"4,785",Paperback,275.0,https://www.amazon.in/Then-There-Were-None/dp/0008123209/ref=zg_bs_g_1318161031_d_sccl_17/000-0000000-0000000?psc=1,NA
War Of Lanka (Ram Chandra Series Book 4),Amish Tripathi,4.3 out of 5 stars,"5,999",Paperback,361.0,https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_g_1318161031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318161031_d_sccl_18_bl/000-0000000-0000000
Tempted By The Devil (Kings Of Mafia),Michelle Heard,4.2 out of 5 stars,"12,496",Kindle Edition,416.0,https://www.amazon.in/Tempted-Devil-Kings-Mafia-Michelle-ebook/dp/B0CJV4WD1P/ref=zg_bs_g_1318161031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Michelle-Heard/e/B007BBSJR2/ref=zg_bs_g_1318161031_d_sccl_19_bl/000-0000000-0000000
Crime and Punishment,Fyodor Dostoyevsky,4.5 out of 5 stars,"3,122",Paperback,290.0,https://www.amazon.in/Punishment-Penguin-Classics-Fyodor-Dostoyevsky/dp/0140449132/ref=zg_bs_g_1318161031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Fyodor-Dostoyevsky/e/B000APYSC6/ref=zg_bs_g_1318161031_d_sccl_20_bl/000-0000000-0000000
"Girl with Broken Dreams, The",Devashish Sardana,4.4 out of 5 stars,144,Paperback,163.0,https://www.amazon.in/Girl-Broken-Dreams-Devashish-Sardana/dp/0143463721/ref=zg_bs_g_1318161031_d_sccl_21/000-0000000-0000000?psc=1,https://www.amazon.in/Devashish-Sardana/e/B07Z9CC7Z5/ref=zg_bs_g_1318161031_d_sccl_21_bl/000-0000000-0000000
Craving Danger (Kings Of Mafia),Michelle Heard,4.4 out of 5 stars,"5,698",Kindle Edition,416.0,https://www.amazon.in/Craving-Danger-Kings-Mafia-Michelle-ebook/dp/B0CL3HP64R/ref=zg_bs_g_1318161031_d_sccl_22/000-0000000-0000000?psc=1,https://www.amazon.in/Michelle-Heard/e/B007BBSJR2/ref=zg_bs_g_1318161031_d_sccl_22_bl/000-0000000-0000000
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,4.4 out of 5 stars,"20,011",Paperback,179.0,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318161031_d_sccl_23/000-0000000-0000000?psc=1,https://www.amazon.in/Arthur-Conan-Doyle/e/B000AQ43GQ/ref=zg_bs_g_1318161031_d_sccl_23_bl/000-0000000-0000000
As Good As Dead,Holly Jackson,4.5 out of 5 stars,"15,040",Paperback,334.0,https://www.amazon.in/As-Good-Dead-thriller-everyone/dp/140529860X/ref=zg_bs_g_1318161031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Holly-Jackson/e/B07QKBC6JZ/ref=zg_bs_g_1318161031_d_sccl_24_bl/000-0000000-0000000
The Housemaid : An addictive psychological thriller with mind-bending twists,Freida Mcfadden,4.4 out of 5 stars,"249,205",Paperback,323.0,https://www.amazon.in/Housemaid-addictive-psychological-thriller-mind-bending/dp/014346115X/ref=zg_bs_g_1318161031_d_sccl_25/000-0000000-0000000?psc=1,NA
Three Sisters: A BRAND NEW completely addictive psychological thriller,O. J. Mullen,4.1 out of 5 stars,"2,804",Kindle Edition,232.1,https://www.amazon.in/Three-Sisters-completely-addictive-psychological-ebook/dp/B0BXWJXJ7Z/ref=zg_bs_g_1318161031_d_sccl_26/000-0000000-0000000?psc=1,NA
The Devil’s Desire: An Arranged Marriage Mafia Romance (The Devils Series),M.V. Kasi,4.4 out of 5 stars,547,Kindle Edition,99.0,https://www.amazon.in/Devils-Desire-Passionate-Billionaire-Romance-ebook/dp/B087XCZWWM/ref=zg_bs_g_1318161031_d_sccl_27/000-0000000-0000000?psc=1,https://www.amazon.in/M-V-Kasi/e/B01DQ4GQ4U/ref=zg_bs_g_1318161031_d_sccl_27_bl/000-0000000-0000000
Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),Sophie Lark,4.2 out of 5 stars,"35,031",Kindle Edition,413.0,https://www.amazon.in/Brutal-Prince-Enemies-Romance-Birthright-ebook/dp/B08BNLPH6D/ref=zg_bs_g_1318161031_d_sccl_28/000-0000000-0000000?psc=1,https://www.amazon.in/Sophie-Lark/e/B07YJ37WK4/ref=zg_bs_g_1318161031_d_sccl_28_bl/000-0000000-0000000
God of Malice: A Dark College Romance (Legacy of Gods Book 1),Rina Kent,4.4 out of 5 stars,"25,607",Kindle Edition,449.0,https://www.amazon.in/God-Malice-College-Romance-Legacy-ebook/dp/B09Z9K12P2/ref=zg_bs_g_1318161031_d_sccl_29/000-0000000-0000000?psc=1,https://www.amazon.in/Rina-Kent/e/B07MM54G22/ref=zg_bs_g_1318161031_d_sccl_29_bl/000-0000000-0000000
The Housemaid's Secret: A totally gripping psychological thriller with a shocking twist,Freida McFadden,4.3 out of 5 stars,"136,288",Kindle Edition,299.0,https://www.amazon.in/Housemaids-Secret-gripping-psychological-thriller-ebook/dp/B0BGXYL3BZ/ref=zg_bs_g_1318161031_d_sccl_30/000-0000000-0000000?psc=1,https://www.amazon.in/Freida-McFadden/e/B00ELQLN2I/ref=zg_bs_g_1318161031_d_sccl_30_bl/000-0000000-0000000
The Best of Sherlock Holmes (Set of 2 Books),Sir Arthur Conan Doyle,4.6 out of 5 stars,"2,245",Paperback,349.0,https://www.amazon.in/Best-Sherlock-Holmes-Set-Books/dp/9388810538/ref=zg_bs_g_1318161031_d_sccl_1/000-0000000-0000000?psc=1,NA
Anxious People,Fredrik Backman,4.5 out of 5 stars,"66,827",Paperback,358.0,https://www.amazon.in/Anxious-People-bestseller-author-Called/dp/140593025X/ref=zg_bs_g_1318161031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Fredrik-Backman/e/B00KV5TN4I/ref=zg_bs_g_1318161031_d_sccl_2_bl/000-0000000-0000000
