Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,"25,211",Paperback,206.0,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_1318216031_d_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Mitch-Albom/e/B000AQ79EY/ref=zg_bs_g_1318216031_d_sccl_15_bl/000-0000000-0000000
Arihant Test Drive 15 Practice Sets For NEET UG 2024 | Latest NMC Syllabus |3000 Most Probable Questions | Problem Solving Ta,"Anuksha Arora Ajay Kumar, Swati Chauhan ",4.6 out of 5 stars,95,Paperback,340.0,https://www.amazon.in/Practice-Syllabus-Questions-Completely-Supplement/dp/9358897929/ref=zg_bs_g_1318216031_d_sccl_16/000-0000000-0000000?psc=1,NA
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home",Renuka Gavrani,4.4 out of 5 stars,665,Paperback,194.0,https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022/ref=zg_bs_g_1318216031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Renuka-Gavrani/e/B0CGJD3H2V/ref=zg_bs_g_1318216031_d_sccl_17_bl/000-0000000-0000000
A Man Called Ove,Fredrik Backman,4.6 out of 5 stars,"175,887",Paperback,255.0,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318216031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Fredrik-Backman/e/B00KV5TN4I/ref=zg_bs_g_1318216031_d_sccl_18_bl/000-0000000-0000000
Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4 out of 5 stars,"18,335",Paperback,101.0,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_1318216031_d_sccl_19/000-0000000-0000000?psc=1,NA
"Shri Ram Charitmanas Gita Press Ramcharitmanas, Tulsidas Krit Ramcharitmanas, Code-81,(Hardcover, Hindi, Goswami Tulsidas)",Gita Press Gorakhpur,4.8 out of 5 stars,"1,671",Hardcover,329.5,https://www.amazon.in/Charitmanas-Ramcharitmanas-Tulsidas-Code-81-Hardcover/dp/B097JNH98W/ref=zg_bs_g_1318216031_d_sccl_20/000-0000000-0000000?psc=1,NA
Masala Lab,Ashok Krish,4.5 out of 5 stars,"2,518",Paperback,259.0,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_g_1318216031_d_sccl_21/000-0000000-0000000?psc=1,NA
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,4.5 out of 5 stars,"12,870",Audible Audiobook,"1,063.0",https://www.amazon.in/Courage-Be-Disliked-Yourself-Happiness/dp/B079MBMBJK/ref=zg_bs_g_1318216031_d_sccl_22/000-0000000-0000000?psc=1,NA
Sapiens,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Audible Audiobook,957.0,https://www.amazon.in/Sapiens/dp/B079C1B3H6/ref=zg_bs_g_1318216031_d_sccl_23/000-0000000-0000000?psc=1,NA
Indian Economy for UPSC (English)| 15th Edition|Civil Services Exam|State Administrative Exams,Ramesh Singh,4.5 out of 5 stars,362,Paperback,569.0,https://www.amazon.in/Indian-Economy-English-Services-Administrative/dp/9355324340/ref=zg_bs_g_1318216031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Ramesh-Singh/e/B00ZVAXM2W/ref=zg_bs_g_1318216031_d_sccl_24_bl/000-0000000-0000000
Lessons in Chemistry,Garmus Bonnie,4.6 out of 5 stars,"267,714",Paperback,368.0,https://www.amazon.in/Lessons-Chemistry-Sunday-bestseller-Between/dp/1804990922/ref=zg_bs_g_1318216031_d_sccl_25/000-0000000-0000000?psc=1,NA
Emotional Intelligence,Daniel Goleman,4.3 out of 5 stars,"11,966",Paperback,324.0,https://www.amazon.in/Emotional-Intelligence-Matter-More-Than/dp/9354352804/ref=zg_bs_g_1318216031_d_sccl_26/000-0000000-0000000?psc=1,https://www.amazon.in/Daniel-Goleman/e/B000APZC9O/ref=zg_bs_g_1318216031_d_sccl_26_bl/000-0000000-0000000
Introducing Psychology: A Graphic Guide (Graphic Guides),Nigel Benson,4.1 out of 5 stars,924,Kindle Edition,203.3,https://www.amazon.in/Introducing-Psychology-Graphic-Guide-ebook/dp/B00ZCKBYKS/ref=zg_bs_g_1318216031_d_sccl_27/000-0000000-0000000?psc=1,NA
Grandparents' Bag of Stories [Paperback] Sudha Murty,Sudha Murty,4.6 out of 5 stars,"23,784",Paperback,179.0,https://www.amazon.in/Grandparents-Bag-Stories-Sudha-Murty/dp/0143451847/ref=zg_bs_g_1318216031_d_sccl_28/000-0000000-0000000?psc=1,NA
Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State- Sanctioned Apartheid),Anand Ranganathan,4.8 out of 5 stars,"1,618",Hardcover,259.0,https://www.amazon.in/Rashtra-Eighth-Class-Citizens-Sanctioned-Apartheid/dp/9392209479/ref=zg_bs_g_1318216031_d_sccl_29/000-0000000-0000000?psc=1,NA
