Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Scorned Vows: An Arranged Marriage Romance (Scorned Fate),Victoria  Paige,4.3 out of 5 stars,"2,081",Kindle Edition,415.0,https://www.amazon.in/Scorned-Vows-Arranged-Marriage-Romance-ebook/dp/B0CJYNSRMP/ref=zg_bs_g_1318158031_d_sccl_29/000-0000000-0000000?psc=1,https://www.amazon.in/Victoria-Paige/e/B00CD9O56G/ref=zg_bs_g_1318158031_d_sccl_29_bl/000-0000000-0000000
"The Oath Of The Vayuputras (Shiva Trilogy Book 3) (Shiva Trilogy, 3)",Amish Tripathi,4.6 out of 5 stars,"10,572",Paperback,361.0,https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy-Book/dp/9356290687/ref=zg_bs_g_1318158031_d_sccl_30/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_30_bl/000-0000000-0000000
THE CONCISE LAWS OF HUMAN NATURE,Robert Greene,4.5 out of 5 stars,"1,109",Paperback,259.0,https://www.amazon.in/CONCISE-LAWS-HUMAN-NATURE/dp/1788161564/ref=zg_bs_g_1318158031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318158031_d_sccl_1_bl/000-0000000-0000000
Peppa Pig: 1000 First Words Sticker Book,LADYBIRD,4.6 out of 5 stars,"3,684",Paperback,223.0,https://www.amazon.in/Peppa-Pig-First-Words-Sticker/dp/0241294649/ref=zg_bs_g_1318158031_d_sccl_2/000-0000000-0000000?psc=1,NA
"Raavan: Enemy Of Aryavarta (The Ram Chandra, 3)",Amish Tripathi,4.5 out of 5 stars,"16,634",Paperback,278.0,https://www.amazon.in/Raavan-Enemy-Aryavarta-Chandra-Book/dp/9356290970/ref=zg_bs_g_1318158031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_3_bl/000-0000000-0000000
Breath (Lead Title),James Nestor,4.6 out of 5 stars,"26,531",Paperback,356.0,https://www.amazon.in/Breath-New-Science-Lost-Art/dp/0241289122/ref=zg_bs_g_1318158031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/James-Nestor/e/B00J1RO5MM/ref=zg_bs_g_1318158031_d_sccl_4_bl/000-0000000-0000000
THE GOPI DIARIES BOXSET: set of 3 books,Sudha Murty,4.7 out of 5 stars,165,Hardcover,712.0,https://www.amazon.in/Gopi-Diaries-Boxset-set-books/dp/9356295522/ref=zg_bs_g_1318158031_d_sccl_5/000-0000000-0000000?psc=1,NA
STRANGER,Albert Camus,4.6 out of 5 stars,"10,153",Paperback,339.0,https://www.amazon.in/STRANGER-Albert-Camus/dp/0679720200/ref=zg_bs_g_1318158031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Albert-Camus/e/B000AQ541E/ref=zg_bs_g_1318158031_d_sccl_6_bl/000-0000000-0000000
Samsara: Enter The Valley Of The Gods,Saksham Garg,4.3 out of 5 stars,"1,079",Paperback,162.0,https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_g_1318158031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Saksham-Garg/e/B0B9XBMGWF/ref=zg_bs_g_1318158031_d_sccl_7_bl/000-0000000-0000000
Diary of a Wimpy Kid : Diper Ã–verlode,Jeff Kinney,4.5 out of 5 stars,"11,348",Hardcover,357.0,https://www.amazon.in/Diary-Wimpy-Kid-Diper-%C3%96verl%C3%B6de/dp/024158308X/ref=zg_bs_g_1318158031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Jeff-Kinney/e/B001J93AUI/ref=zg_bs_g_1318158031_d_sccl_8_bl/000-0000000-0000000
The Cruel Prince (The Folk of the Air),Holly Black,4.5 out of 5 stars,"42,180",Paperback,324.0,https://www.amazon.in/Cruel-Prince-Folk-Air/dp/1471407276/ref=zg_bs_g_1318158031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Holly-Black/e/B001H6GPWS/ref=zg_bs_g_1318158031_d_sccl_9_bl/000-0000000-0000000
The Immortals of Meluha,Amish Tripathi,4.6 out of 5 stars,"19,582",Audible Audiobook,210.0,https://www.amazon.in/Audible-The-Immortals-of-Meluha/dp/B0BKCD5YSY/ref=zg_bs_g_1318158031_d_sccl_10/000-0000000-0000000?psc=1,NA
Shogun: The First Novel of the Asian saga and NOW A MAJOR TV SERIES,James Clavell,4.6 out of 5 stars,"7,449",Kindle Edition,297.9,https://www.amazon.in/Shogun-First-Novel-Asian-saga-ebook/dp/B00D3J2QKC/ref=zg_bs_g_1318158031_d_sccl_11/000-0000000-0000000?psc=1,NA
Ruby’s Worry: A Big Bright Feelings Book,Tom Percival,4.7 out of 5 stars,"3,289",Paperback,213.0,https://www.amazon.in/Rubys-Worry-Tom-Percival/dp/1408892154/ref=zg_bs_g_1318158031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Tom-Percival/e/B00KPNXR3O/ref=zg_bs_g_1318158031_d_sccl_12_bl/000-0000000-0000000
Cruise in Love: Fake Marriage with Enemy Romance (Indian Air Force),M.V. Kasi,4.3 out of 5 stars,384,Kindle Edition,199.0,https://www.amazon.in/Cruise-Love-Marriage-Enemy-Romance-ebook/dp/B0B54KCGQ1/ref=zg_bs_g_1318158031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/M-V-Kasi/e/B01DQ4GQ4U/ref=zg_bs_g_1318158031_d_sccl_13_bl/000-0000000-0000000
Legend Of Suheldev: The King Who Saved India,Amish Tripathi,4.4 out of 5 stars,"7,695",Paperback,299.0,https://www.amazon.in/Legend-Suheldev-King-Saved-India/dp/9356291039/ref=zg_bs_g_1318158031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_14_bl/000-0000000-0000000
DORK DIARIES : I LOVE PARIS!,RACHEL RENEE RUSSELL,4.6 out of 5 stars,272,Paperback,227.0,https://www.amazon.in/Dork-Diaries-I-Love-Paris/dp/1471196860/ref=zg_bs_g_1318158031_d_sccl_15/000-0000000-0000000?psc=1,NA
On Earth We're Briefly Gorgeous,Ocean Vuong,4.4 out of 5 stars,"18,444",Paperback,299.0,https://www.amazon.in/Earth-Were-Briefly-Gorgeous/dp/1529110688/ref=zg_bs_g_1318158031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Ocean-Vuong/e/B004ODUZ2M/ref=zg_bs_g_1318158031_d_sccl_16_bl/000-0000000-0000000
"Sita: Warrior Of Mithila (Ram Chandra Series Book 2) (Ram Chandra, 2)",Amish Tripathi,4.4 out of 5 stars,"17,592",Paperback,299.0,https://www.amazon.in/Sita-Warrior-Mithila-Chandra-Book/dp/9356290911/ref=zg_bs_g_1318158031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_17_bl/000-0000000-0000000
Sunama,Nityananda Misra,3.6 out of 5 stars,416,Paperback,310.0,https://www.amazon.in/Sunama-Beautiful-Sanskrit-Nityananda-Misra/dp/9390358108/ref=zg_bs_g_1318158031_d_sccl_18/000-0000000-0000000?psc=1,NA
"Ram - Scion Of Ikshvaku (Ram Chandra Series Book 1) (Ram Chandra, 1)",Amish Tripathi,4.3 out of 5 stars,"20,748",Paperback,299.0,https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Book/dp/9356290792/ref=zg_bs_g_1318158031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_19_bl/000-0000000-0000000
Meesha Makes Friends,Tom Percival,4.8 out of 5 stars,818,Paperback,206.0,https://www.amazon.in/Meesha-Makes-Friends-Bright-Feelings/dp/152661295X/ref=zg_bs_g_1318158031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Tom-Percival/e/B00KPNXR3O/ref=zg_bs_g_1318158031_d_sccl_20_bl/000-0000000-0000000
